epoch,train_loss,val_loss,elapsed_s
1,4.911332,4.290902,36.3
2,3.906655,3.673408,36.4
3,3.477066,3.367509,36.5
4,3.232620,3.126484,35.1
5,3.024330,2.882675,36.4
6,2.783384,2.528817,33.9
7,2.569967,2.241092,32.4
8,2.378868,2.076354,37.2
9,2.201237,1.862455,38.8
10,2.075943,1.716621,42.2
11,1.998484,1.581820,44.5
12,1.889029,1.443804,43.7
13,1.815585,1.411666,43.3
14,1.703157,1.296056,43.9
15,1.653498,1.225119,45.1
16,1.542865,1.173259,44.8
17,1.493767,1.125260,44.9
18,1.451914,1.022691,44.6
19,1.433586,0.981438,44.5
20,1.344291,0.953208,44.7
21,1.273944,0.875164,43.5
22,1.255725,0.845350,40.3
23,1.225501,0.846247,37.3
24,1.209975,0.823024,38.5
25,1.204673,0.775821,43.3
26,1.151981,0.784665,39.6
27,1.135385,0.730083,36.4
28,1.147387,0.738963,33.5
